student_id,answer_count,correct_rate,last_7_days_answer_count,total_study_time,avg_study_time,completed_task_count,completion_rate,task_type_count,morning_study_ratio,evening_study_ratio,video_audio_ratio,text_ratio,discuss_ratio,cluster
1830475870539571200,74,0.689,74,617.5,9.22,33,0.49,3,0.745,0.255,0.485,0.515,0,0
1832033949675745280,63,0.492,63,632.1,9.03,36,0.51,3,1.0,0.0,0.45,0.55,0,0
1832026288704348160,31,0.871,31,574.03,6.52,23,0.26,3,1.0,0.0,0.451,0.5489999999999999,0,0
1832021769843257344,40,0.0,40,231.05,5.78,13,0.33,3,1.0,0.0,0.419,0.581,0,3
1832017802530267136,119,0.84,119,386.52,12.47,20,0.65,3,1.0,0.0,0.426,0.5740000000000001,0,0
1832012553951920128,59,0.797,59,634.12,13.49,31,0.66,3,1.0,0.0,0.47,0.53,0,0
1832007618803863552,118,0.907,118,290.47,10.37,16,0.57,3,1.0,0.0,0.444,0.556,0,0
1832047936687882240,40,0.0,40,566.5,13.17,31,0.72,3,0.996,0.004,0.47,0.53,0,3
1832012456768262144,86,0.791,86,685.88,14.91,38,0.83,3,1.0,0.0,0.494,0.507,0,0
1833416659428708352,42,0.714,42,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830977039874707456,12,0.667,12,673.38,11.81,34,0.6,2,0.893,0.107,0.5,0.5,0,0
1830480741170896896,10,0.8,10,453.62,12.26,22,0.59,2,1.0,0.0,0.5,0.5,0,0
1831156500607430656,72,0.458,72,768.15,7.92,42,0.43,2,1.0,0.0,0.5,0.5,0,0
1830561109808181248,10,0.7,10,911.77,15.45,47,0.8,3,1.0,0.0,0.495,0.506,0,0
1830469455951114240,49,0.694,49,689.07,17.67,34,0.87,2,1.0,0.0,0.5,0.5,0,0
1833416575449964544,86,0.744,86,2357.22,22.45,72,0.69,3,0.01,0.99,0.503,0.497,0,0
1833069629734694912,20,0.1,20,473.1,12.79,25,0.68,2,1.0,0.0,0.5,0.5,0,4
1830999931839729664,11,0.636,11,622.75,13.84,37,0.82,2,1.0,0.0,0.5,0.5,0,0
1830475922060009472,50,0.74,50,1127.22,16.34,52,0.75,3,0.982,0.018,0.531,0.469,0,0
1833419087449985024,84,0.631,84,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833417244122861568,43,0.674,43,844.98,11.74,48,0.67,3,0.372,0.628,0.511,0.489,0,0
1831664841339748352,42,0.976,42,826.38,14.76,45,0.8,3,0.096,0.904,0.495,0.506,0,0
1833416735857881088,47,0.511,47,25.42,0.98,2,0.08,3,1.0,0.0,0.333,0.666,0,0
1833417038969327616,84,0.69,84,415.45,12.22,22,0.65,3,1.0,0.0,0.449,0.5509999999999999,0,0
1833416547865755648,36,0.75,36,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833416604796256256,85,0.824,85,25.42,1.96,2,0.15,3,1.0,0.0,0.333,0.666,0,0
1833416577641025536,37,0.676,37,665.05,13.3,39,0.78,3,1.0,0.0,0.506,0.494,0,0
1833416558418087936,42,0.762,42,2189.93,16.98,88,0.68,3,0.178,0.822,0.509,0.491,0,0
1831663398015692800,42,0.905,42,251.15,8.66,14,0.48,2,1.0,0.0,0.5,0.5,0,0
1831593870795104256,86,0.756,86,691.05,8.13,39,0.46,3,1.0,0.0,0.513,0.487,0,0
1833419043519221760,53,0.302,53,819.97,14.39,52,0.91,3,1.0,0.0,0.441,0.56,0,3
1833416536231460864,84,0.857,84,296.98,11.0,17,0.63,3,1.0,0.0,0.567,0.434,0,0
1833417213800525824,85,0.812,85,713.1,11.5,44,0.71,3,0.436,0.564,0.543,0.456,0,0
1833418682937298944,41,0.78,41,142.5,7.5,7,0.37,3,1.0,0.0,0.333,0.666,0,0
1833418566477852672,97,0.361,97,483.57,7.8,28,0.45,3,0.998,0.002,0.5,0.5,0,0
1830438025996193792,15,0.6,15,25.42,2.31,3,0.27,2,1.0,0.0,0.5,0.5,0,0
1830441557972815872,15,0.733,15,1.0,0.06,1,0.06,2,1.0,0.0,0.5,0.5,0,0
1830436646232592384,10,0.0,10,51.83,1.85,7,0.25,2,1.0,0.0,0.5,0.5,0,6
1831189606152830976,37,0.541,37,1.0,0.11,1,0.11,2,1.0,0.0,0.5,0.5,0,0
1831232602171711488,68,0.853,68,1.0,0.17,1,0.17,2,1.0,0.0,0.5,0.5,0,0
1831187971830542336,50,0.0,50,92.05,11.51,4,0.5,2,0.0,1.0,0.571,0.429,0,1
1831185997193986048,37,0.892,37,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830610324656680960,4,0.75,4,25.42,4.24,3,0.5,2,1.0,0.0,0.5,0.5,0,0
1831483267499606016,7,0.286,7,48.83,4.07,4,0.33,2,1.0,0.0,0.5,0.5,0,0
1831141142106476544,88,0.239,88,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1834470398130946048,10,0.9,10,436.85,12.85,22,0.65,2,0.866,0.134,0.524,0.476,0,0
1834530962149761024,13,0.692,13,315.6,18.56,16,0.94,2,0.848,0.152,0.571,0.429,0,0
1834611829222809600,12,0.917,12,403.1,18.32,20,0.91,2,0.422,0.578,0.526,0.474,0,0
1834766655904763904,16,0.688,16,434.63,17.39,21,0.84,2,1.0,0.0,0.525,0.475,0,0
1834799267023249408,7,0.857,7,362.28,19.07,17,0.89,2,0.553,0.447,0.531,0.469,0,0
1834893180233981952,14,0.786,14,392.38,12.66,20,0.65,2,0.649,0.351,0.541,0.459,0,0
1834474275883454464,17,0.647,17,427.08,17.8,20,0.83,2,0.735,0.265,0.526,0.474,0,0
1834580813180235776,17,0.706,17,223.58,17.2,11,0.85,2,0.0,1.0,0.579,0.421,0,0
1833755291674632192,32,0.75,32,254.15,12.71,12,0.6,2,0.426,0.574,0.706,0.294,0,0
1831141453566144512,37,1.0,37,119.4,11.94,5,0.5,2,0.434,0.566,0.625,0.375,0,0
1833756442249445376,37,0.865,37,255.93,17.06,11,0.73,2,0.753,0.247,0.579,0.421,0,0
1832009797561245696,19,0.0,19,537.43,11.2,31,0.65,3,1.0,0.0,0.463,0.537,0,4
1831997261424173056,19,0.0,19,364.27,11.75,21,0.68,3,1.0,0.0,0.457,0.5429999999999999,0,4
1831873489206038528,69,0.174,69,626.55,17.9,32,0.91,2,1.0,0.0,0.5,0.5,0,3
1830997310718656512,43,0.605,43,388.27,16.88,20,0.87,2,0.0,1.0,0.5,0.5,0,0
1830474383646146560,16,0.25,16,826.93,16.88,38,0.78,2,1.0,0.0,0.5,0.5,0,4
1831868188565073920,16,0.75,16,513.8,16.57,27,0.87,2,1.0,0.0,0.5,0.5,0,0
1831907326513672192,10,0.7,10,720.73,15.67,38,0.83,2,0.954,0.046,0.5,0.5,0,0
1831624234634493952,83,0.807,83,360.1,18.95,16,0.84,2,1.0,0.0,0.5,0.5,0,0
1831593869902135296,44,0.841,44,88.18,8.02,7,0.64,2,1.0,0.0,0.5,0.5,0,0
1831872510074351616,43,0.791,43,503.05,12.27,29,0.71,3,0.276,0.724,0.509,0.492,0,0
1833418274158624768,43,0.837,43,196.58,7.56,11,0.42,2,0.0,1.0,0.524,0.476,0,0
1833016200501477376,13,0.692,13,842.13,14.77,44,0.77,2,1.0,0.0,0.5,0.5,0,0
1830982392000073728,13,0.615,13,672.2,17.69,35,0.92,2,1.0,0.0,0.5,0.5,0,0
1830605197509152768,66,0.167,66,689.62,16.82,34,0.83,2,0.83,0.17,0.5,0.5,0,3
1833416597289717760,42,0.595,42,881.0,10.13,49,0.56,3,0.204,0.796,0.49,0.51,0,0
1833416481544421376,42,0.833,42,169.3,4.84,11,0.31,3,1.0,0.0,0.44,0.56,0,0
1833416783936319488,89,0.472,89,227.73,7.35,13,0.42,2,1.0,0.0,0.5,0.5,0,0
1833417463583105024,86,0.663,86,242.42,7.35,12,0.36,3,0.454,0.546,0.462,0.539,0,0
1831154316926525440,37,0.757,37,168.23,12.94,7,0.54,2,1.0,0.0,0.7,0.3,0,0
1831262449589608448,68,0.882,68,1.0,0.17,1,0.17,2,1.0,0.0,0.5,0.5,0,0
1831141217138827264,46,0.63,46,46.83,5.2,2,0.22,2,1.0,0.0,0.667,0.333,0,0
1833756719501598720,87,0.333,87,117.02,10.64,5,0.45,2,1.0,0.0,0.556,0.444,0,0
1831156093811351552,34,0.912,34,316.82,15.09,12,0.57,2,0.747,0.253,0.8,0.2,0,0
1830437134178656256,13,0.692,13,50.83,3.18,6,0.38,2,0.48,0.52,0.5,0.5,0,0
1830470907536871424,20,0.45,20,24.42,3.49,2,0.29,2,1.0,0.0,0.5,0.5,0,0
1833418684994859008,43,0.814,43,110.37,12.26,5,0.56,3,0.354,0.646,0.714,0.286,0,0
1831280243019108352,38,0.842,38,1151.33,15.99,54,0.75,3,0.145,0.855,0.568,0.432,0,0
1831227580339331072,19,0.0,19,141.47,11.79,8,0.67,2,0.007,0.993,0.429,0.571,0,1
1834499752382353408,16,0.688,16,189.53,15.79,9,0.75,2,0.46,0.54,0.562,0.438,0,0
1831593886285897728,87,0.69,87,366.1,7.32,22,0.44,2,1.0,0.0,0.5,0.5,0,0
1833416487255056384,55,0.545,55,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833416597317824512,43,0.767,43,996.35,16.33,56,0.92,3,1.0,0.0,0.505,0.495,0,0
1833416649803108352,36,0.75,36,363.1,16.5,19,0.86,2,0.0,1.0,0.5,0.5,0,0
1833416794427363328,38,0.816,38,24.42,3.49,2,0.29,2,0.0,1.0,0.5,0.5,0,0
1833416546614644736,42,1.0,42,903.15,14.57,48,0.77,3,0.785,0.215,0.49,0.51,0,0
1830483857157005312,55,0.0,55,23.42,5.85,1,0.25,2,1.0,0.0,0.5,0.5,0,3
1833755698656739328,100,0.0,100,23.42,1.8,1,0.08,1,1.0,0.0,1.0,0.0,0,3
1831142340565803008,38,0.816,38,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831143491454844928,109,0.624,109,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830465570820009984,19,0.263,19,86.05,6.15,8,0.57,3,1.0,0.0,0.471,0.471,0,0
1833416703469965312,43,0.791,43,25.42,5.08,3,0.6,1,0.0,1.0,1.0,0.0,0,0
1834529105422807040,16,0.562,16,258.73,17.25,13,0.87,2,0.226,0.774,0.542,0.458,0,0
1834940308167503872,12,0.917,12,403.1,17.53,20,0.87,2,0.785,0.215,0.526,0.474,0,0
1831875685700554752,41,0.537,41,24.42,2.71,2,0.22,2,0.041,0.959,0.667,0.333,0,0
1830613182757629952,10,0.8,10,561.43,13.69,29,0.71,3,0.542,0.458,0.475,0.524,0,0
1830577343728283648,19,0.0,19,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2
1832018522488086528,117,0.838,117,300.43,13.66,15,0.68,3,1.0,0.0,0.469,0.532,0,0
1833416827197632512,42,0.714,42,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831610344574558208,84,0.774,84,284.65,8.13,15,0.43,2,0.191,0.809,0.5,0.5,0,0
1830561264520335360,58,0.845,58,825.32,20.13,29,0.71,2,1.0,0.0,0.5,0.5,0,0
1830613969192165376,9,0.667,9,778.02,13.65,41,0.72,2,1.0,0.0,0.5,0.5,0,0
1830768959145177088,42,0.643,42,1275.1,11.49,71,0.64,2,0.896,0.104,0.5,0.5,0,0
1835248495969869824,13,0.769,13,187.45,13.39,11,0.79,2,0.688,0.312,0.579,0.421,0,0
1831141597810298880,37,0.973,37,154.6,12.88,6,0.5,2,0.344,0.656,0.667,0.333,0,0
1833416606010904576,42,0.833,42,79.53,7.23,5,0.45,2,1.0,0.0,0.5,0.5,0,0
1831151187904630784,19,0.0,19,138.47,19.78,5,0.71,1,0.0,1.0,1.0,0.0,0,1
1830880764864192512,19,0.0,19,195.1,19.51,8,0.8,2,1.0,0.0,0.727,0.273,0,4
1830413023804141568,17,0.706,17,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830414423796838400,16,0.75,16,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830470937311768576,13,0.923,13,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830413617376468992,17,0.647,17,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830910996910002176,16,0.75,16,76.9,19.23,3,0.75,1,1.0,0.0,1.0,0.0,0,0
1830499683828768768,57,0.737,57,46.83,5.85,2,0.25,1,1.0,0.0,1.0,0.0,0,0
1830465682758483968,13,0.769,13,138.47,19.78,5,0.71,1,1.0,0.0,1.0,0.0,0,0
1831307285386788864,37,0.784,37,23.42,3.35,1,0.14,1,1.0,0.0,1.0,0.0,0,0
1833757917642715136,67,0.478,67,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831485765394268160,42,0.69,42,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830815464396476416,13,0.769,13,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830823975166332928,17,0.588,17,138.47,7.69,5,0.28,1,1.0,0.0,1.0,0.0,0,0
1831615363568128000,32,0.75,32,142.88,7.94,8,0.44,3,1.0,0.0,0.4,0.6,0,0
1832781825422790656,78,0.782,78,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831663943178960896,46,0.0,46,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2
1831652031230046208,45,0.356,45,1.0,0.33,1,0.33,2,1.0,0.0,0.5,0.5,0,0
1833417011127324672,42,0.738,42,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
